Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Comparison,Original_ID
SEC24B-AS1,2.586765080425632,0.3739069540426961,1.525714018889391,0.24507014382346254,0.8064021198959842,,Sarcoidosis_vs_Control,SEC24B-AS1
A1BG,1.1152185942278208,-2.0952291911313785,3.645363886509182,-0.5747654435502131,0.5654499405436408,,Sarcoidosis_vs_Control,A1BG
A1CF,0.0,,,,,,Sarcoidosis_vs_Control,A1CF
GGACT,1.7756883462445814,-2.696077452924234,3.5626410257902035,-0.7567637136066035,0.44919143583793575,,Sarcoidosis_vs_Control,GGACT
A2M,34.723822688016995,-1.9257707821251373,0.8512505810003933,-2.2622842499114224,0.02367984688964343,0.07206743372615125,Sarcoidosis_vs_Control,A2M
A2ML1,0.0,,,,,,Sarcoidosis_vs_Control,A2ML1
A2MP1,3.8701429027167498,-3.847736234629354,3.523884857990038,-1.0919018043126514,0.27487626456428027,,Sarcoidosis_vs_Control,A2MP1
A4GALT,2.96372650793583,1.4327904383301098,2.028142540244824,0.7064545069683086,0.47990553435670613,,Sarcoidosis_vs_Control,A4GALT
A4GNT,0.0,,,,,,Sarcoidosis_vs_Control,A4GNT
AAAS,47.13756604471952,-0.16993909749132965,0.4289236024988938,-0.3961989885874092,0.6919582373826219,0.7976085102303334,Sarcoidosis_vs_Control,AAAS
AACS,36.49265700499106,0.4225742298339958,0.3965916187821546,1.0655147759592802,0.2866430426567088,0.44106143204865444,Sarcoidosis_vs_Control,AACS
AADAC,0.0,,,,,,Sarcoidosis_vs_Control,AADAC
AADACL2,0.0,,,,,,Sarcoidosis_vs_Control,AADACL2
AADACL3,0.0765887836342836,0.48773804833464224,5.954393187957517,0.08191230120998219,0.9347164523624722,,Sarcoidosis_vs_Control,AADACL3
AADACL4,0.0,,,,,,Sarcoidosis_vs_Control,AADACL4
AADAT,0.0,,,,,,Sarcoidosis_vs_Control,AADAT
AAGAB,225.11460967186295,0.40556997845668535,0.25678051196540175,1.5794422067019296,0.1142346627952795,0.22964930964080407,Sarcoidosis_vs_Control,AAGAB
AAK1,11.824866501376667,-0.3152589492998954,0.8468387644356118,-0.3722774187244538,0.7096863095684187,0.8094310460147832,Sarcoidosis_vs_Control,AAK1
AAMP,165.90089015101609,-0.22266909643939514,0.2544871995855666,-0.8749716952444471,0.3815893067961873,0.5355439630878233,Sarcoidosis_vs_Control,AAMP
AANAT,0.5629452431395848,1.959951793950945,2.7507867942950837,0.7125058903204464,0.47615156523534174,,Sarcoidosis_vs_Control,AANAT
AARS,110.83362885485232,-0.4447484803527605,0.30244480157242476,-1.4705112405321308,0.14142334360153042,0.2685711141611836,Sarcoidosis_vs_Control,AARS
AARS2,27.666809261171874,-1.3600043577904106,0.6217843386573046,-2.187260555206706,0.02872350850439538,0.08298719324228693,Sarcoidosis_vs_Control,AARS2
PTGES3L-AARSD1,0.2579563177366858,2.9304131768430883,4.44925979611116,0.6586293700818264,0.5101337980822082,,Sarcoidosis_vs_Control,PTGES3L-AARSD1
AASDH,24.302958936161403,0.47790117521844516,0.4482406565567935,1.066170969160834,0.28634636287073945,0.4407851826107878,Sarcoidosis_vs_Control,AASDH
AASDHPPT,286.4791683221362,-0.04164486710952782,0.2378794769328227,-0.17506708710852073,0.8610269195264719,0.913980803800528,Sarcoidosis_vs_Control,AASDHPPT
AASS,10.64537227961297,-1.807892153767654,1.14428438968752,-1.579932550037977,0.1141223139874679,,Sarcoidosis_vs_Control,AASS
AATF,531.8010682931905,-0.031040192695570054,0.25921073422484564,-0.11974887069547455,0.9046820856505193,0.9424064082994927,Sarcoidosis_vs_Control,AATF
AATK,143.45543945360419,-0.3734004382794339,0.46130463185947435,-0.8094443725273099,0.4182595877063068,0.5696240867757959,Sarcoidosis_vs_Control,AATK
ABAT,182.50729197972984,-0.3339921375971548,0.2943023328956981,-1.1348606526864429,0.2564337083807712,0.40838370488179243,Sarcoidosis_vs_Control,ABAT
ABCA1,277.2968906966599,0.6971167200853442,0.43685971685082453,1.5957450256815282,0.11054573156656328,0.22398855105427504,Sarcoidosis_vs_Control,ABCA1
ABCA10,4.577530629459945,-0.5494432004003487,1.4076898462106222,-0.3903155243176624,0.6963032451361163,,Sarcoidosis_vs_Control,ABCA10
ABCA12,0.14564379130549227,0.48773804833464224,5.954393187957517,0.08191230120998219,0.9347164523624722,,Sarcoidosis_vs_Control,ABCA12
ABCA13,6.962185947366917,3.428200871154472,0.7313446190448535,4.687531407056432,2.765202751296773e-06,,Sarcoidosis_vs_Control,ABCA13
ABCA17P,0.0,,,,,,Sarcoidosis_vs_Control,ABCA17P
ABCA2,108.88416210595813,0.38483176200239505,0.46351495848182944,0.8302466942228814,0.4063993197449627,0.5592387567086601,Sarcoidosis_vs_Control,ABCA2
ABCA3,23.806545635692295,0.8481212087200225,0.6541830006877511,1.2964586481586673,0.19481751778797296,0.3375959688042123,Sarcoidosis_vs_Control,ABCA3
ABCA4,0.0,,,,,,Sarcoidosis_vs_Control,ABCA4
ABCA5,107.82181645371027,0.3132768347247283,0.2718134870277307,1.152543378735167,0.24909785503415072,0.4004866240742762,Sarcoidosis_vs_Control,ABCA5
ABCA6,5.632588990267662,-4.367622603123993,3.4985840207504357,-1.2483972307708509,0.21188562264413424,,Sarcoidosis_vs_Control,ABCA6
ABCA7,53.93357967816452,-0.4313496126322513,0.6275352813194105,-0.6873710936623781,0.4918489085284865,0.6371382467652712,Sarcoidosis_vs_Control,ABCA7
ABCA8,0.0,,,,,,Sarcoidosis_vs_Control,ABCA8
ABCA9,1.9582935478980363,-0.3010428141372491,1.8212862410390107,-0.16529132398513569,0.8687146873510522,,Sarcoidosis_vs_Control,ABCA9
ABCB1,98.3112311585878,-2.024793355292148,0.530576784578537,-3.816211741907517,0.00013551622374275248,0.0011381749506013319,Sarcoidosis_vs_Control,ABCB1
ABCB10,420.41115059037776,0.5966192005593176,0.4386159363432227,1.3602314715999175,0.17375668633232433,0.3102860449925763,Sarcoidosis_vs_Control,ABCB10
ABCB11,0.9890181948345355,2.180905737473327,2.1365510429674996,1.0207599507869574,0.3073681832056264,,Sarcoidosis_vs_Control,ABCB11
ABCB4,15.378361754484823,-1.3257257571874883,0.8593464671178739,-1.542713920304792,0.12290020287977965,0.24270424949386857,Sarcoidosis_vs_Control,ABCB4
ABCB5,28.25855894426325,0.8888776351148133,0.5451156664387563,1.6306220676464058,0.10297008983476269,0.21315356208597122,Sarcoidosis_vs_Control,ABCB5
ABCB6,40.20055785652916,0.2266877311933332,0.4676318219349543,0.48475685477380653,0.6278488311568668,0.7472751588041662,Sarcoidosis_vs_Control,ABCB6
ABCB7,196.41754632888473,0.054435190584026176,0.24368217416129007,0.22338601816641798,0.8232350852962639,0.8893627379021957,Sarcoidosis_vs_Control,ABCB7
ABCB8,8.31069582096915,-1.4049051653885452,1.1971556185701882,-1.17353595772827,0.24058094603386482,,Sarcoidosis_vs_Control,ABCB8
ABCB9,0.15557299492342408,0.1671438524126538,5.9375319239969215,0.028150392208778036,0.9775422028085199,,Sarcoidosis_vs_Control,ABCB9
ABCC1,184.92195444970903,-0.9320875726921534,0.37958529083311354,-2.4555418642445503,0.014067236664303871,0.0486939489318191,Sarcoidosis_vs_Control,ABCC1
ABCC10,67.07228507317747,-0.649467546449684,0.4581851345954502,-1.4174784326495544,0.15634309562627155,0.2892167917779996,Sarcoidosis_vs_Control,ABCC10
ABCC11,0.30009306285811943,-0.15345031776159607,4.660251554935597,-0.032927475255939635,0.9737324225856014,,Sarcoidosis_vs_Control,ABCC11
ABCC12,0.09300139829874716,0.48773804833464224,5.954393187957517,0.08191230120998219,0.9347164523624722,,Sarcoidosis_vs_Control,ABCC12
ABCC2,15.11825738145333,0.11555803594979172,0.6446273460243348,0.1792633164920518,0.8577309494325209,0.9118541116212372,Sarcoidosis_vs_Control,ABCC2
ABCC3,44.59214538794821,-0.3277492834325857,0.6615496126688091,-0.4954266122390831,0.6202990134052428,0.7412592910563606,Sarcoidosis_vs_Control,ABCC3
ABCC4,717.7086403472427,0.8036458832952518,0.42147072669472896,1.9067656005379756,0.05655094774915689,0.13739713693337988,Sarcoidosis_vs_Control,ABCC4
ABCC5,121.90147508877067,0.6198787982779583,0.3811639720040413,1.626278567249756,0.10389040904054024,0.21442950031991556,Sarcoidosis_vs_Control,ABCC5
ABCC6,1.0955683184878544,-2.0152568915145292,3.627061991141493,-0.5556168867354528,0.5784727849068267,,Sarcoidosis_vs_Control,ABCC6
ABCC8,0.32651214315551413,-0.15345031658821812,4.594369279460875,-0.033399647972185795,0.9733558903848796,,Sarcoidosis_vs_Control,ABCC8
ABCC9,0.0,,,,,,Sarcoidosis_vs_Control,ABCC9
ABCD1,84.8281631557353,0.4737573948488575,0.30595276368791563,1.5484658126249498,0.12151018662097071,0.24088636926194545,Sarcoidosis_vs_Control,ABCD1
ABCD2,102.04416157595077,-0.5794980353563255,0.4101596800742745,-1.412859584958195,0.15769701433314787,0.29076835965249476,Sarcoidosis_vs_Control,ABCD2
ABCD3,191.01651630853192,-0.22750421270989202,0.23341021159435715,-0.9746969130265426,0.3297106246635523,0.48528590411249084,Sarcoidosis_vs_Control,ABCD3
ABCD4,79.75609647301371,-0.350825662229753,0.386697923438748,-0.9072344095101481,0.3642828510467201,0.5190833517202574,Sarcoidosis_vs_Control,ABCD4
ABCE1,385.82474886602967,-0.11406866967763049,0.18511087319987218,-0.6162180951654073,0.5377505872177746,0.6755710684080467,Sarcoidosis_vs_Control,ABCE1
ABCF1,267.643432397274,-0.15391274293538512,0.20340958346231652,-0.7566641665332294,0.4492510880531758,0.598294747751799,Sarcoidosis_vs_Control,ABCF1
ABCF2,194.22230005944562,0.4901751022067724,0.24910785977258848,1.9677223458716042,0.04909999326611219,0.12382500535922128,Sarcoidosis_vs_Control,ABCF2
ABCF3,147.3443804696267,-0.46586754220280385,0.26544606358514333,-1.7550365445648215,0.07925305703880295,0.17693997386353,Sarcoidosis_vs_Control,ABCF3
ABCG1,37.58271021182073,-1.1428598103885477,0.6011097963253678,-1.9012496841258302,0.05726931613486573,0.13881383734815642,Sarcoidosis_vs_Control,ABCG1
ABCG2,63.5166174988604,3.0234492290025394,0.5180565424274894,5.836137528223034,5.342480335036069e-09,1.93909704250441e-07,Sarcoidosis_vs_Control,ABCG2
ABCG4,0.19900090176672894,0.16714434261160863,5.691472452983368,0.02936750445378938,0.9765714893098236,,Sarcoidosis_vs_Control,ABCG4
ABCG5,0.4503944681808057,2.2892353668352263,2.8337448088066806,0.8078481025252402,0.41917803009534205,,Sarcoidosis_vs_Control,ABCG5
ABCG8,0.0,,,,,,Sarcoidosis_vs_Control,ABCG8
ABHD1,11.01290566791384,0.48073753240519945,0.790124075259422,0.6084329631993033,0.5429003546172131,0.680539611651205,Sarcoidosis_vs_Control,ABHD1
ABHD10,83.06445275076645,-0.48578798944734136,0.388750320678715,-1.2496143761353287,0.21144044897926162,0.35803145163851574,Sarcoidosis_vs_Control,ABHD10
ABHD11,20.808909029890284,0.9096990568468503,0.458988437650139,1.981965082833443,0.04748314878175873,0.12052551715923661,Sarcoidosis_vs_Control,ABHD11
ABHD12,65.79588969600398,0.44500429540937964,0.32498286350007893,1.369316186757249,0.17090046037065854,0.306599554460266,Sarcoidosis_vs_Control,ABHD12
ABHD12B,0.16685116484041523,0.1671438524126538,5.9375319239969215,0.028150392208778036,0.9775422028085199,,Sarcoidosis_vs_Control,ABHD12B
ABHD13,100.85048369622618,-1.268275832200716,0.39191591007303034,-3.2360917217277123,0.0012117843950288035,0.007047203632707437,Sarcoidosis_vs_Control,ABHD13
ABHD14A,27.132848101372144,-4.191496406364901,1.4768304809231587,-2.838170298154206,0.004537296743005564,0.020132470768493237,Sarcoidosis_vs_Control,ABHD14A
ABHD14B,252.15935772401866,-0.643356792490753,0.21679740806597858,-2.9675483587652414,0.003001850574330769,0.014449846176138901,Sarcoidosis_vs_Control,ABHD14B
ABHD15,85.12810561930455,-0.0900621583746614,0.30760857225760124,-0.2927816923750762,0.7696890227346701,0.8527924704190181,Sarcoidosis_vs_Control,ABHD15
ABHD16A,143.89487860843133,0.13158066381236944,0.2875336907778521,0.4576182479917748,0.6472267310783868,0.7623808139844339,Sarcoidosis_vs_Control,ABHD16A
ABHD16B,42.63804786121284,-0.3366544398662025,0.4873042766072463,-0.6908505753532236,0.4896594487112237,0.6351000640069278,Sarcoidosis_vs_Control,ABHD16B
ABHD2,1402.7863159602682,-0.11642945819470976,0.247590194331696,-0.47025068383253293,0.6381759268903409,0.7550288085880064,Sarcoidosis_vs_Control,ABHD2
ABHD3,539.2399778058468,0.8626050930214841,0.2121007617115284,4.066958958849409,4.763062750712261e-05,0.00048350226915503595,Sarcoidosis_vs_Control,ABHD3
ABHD4,175.7860500914576,-0.3482465569237102,0.2539854595218271,-1.3711279282654463,0.1703350802160929,0.30590142370090884,Sarcoidosis_vs_Control,ABHD4
ABHD5,776.2485592251809,0.45608710338097275,0.22104562806219402,2.063316553144615,0.03908256236544293,0.10433397185756467,Sarcoidosis_vs_Control,ABHD5
ABHD6,50.45482631200697,0.30589085525077536,0.3851826506338917,0.7941449459039068,0.4271110544462521,0.5782931009462988,Sarcoidosis_vs_Control,ABHD6
ABHD8,31.65981581540884,-1.0130223565319294,0.5740948333321128,-1.7645557801874483,0.07763845283483507,0.1743351612491781,Sarcoidosis_vs_Control,ABHD8
