Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Comparison,Original_ID
SEC24B-AS1,2.5867650804256304,0.37390721751475076,1.525730779314063,0.24506762437004231,0.8064040706602942,,Sarcoidosis_vs_Control,SEC24B-AS1
A1BG,1.1152185942278205,-2.095227116514215,3.6453850811056814,-0.5747615327044439,0.5654525858470616,,Sarcoidosis_vs_Control,A1BG
A1CF,0.0,,,,,,Sarcoidosis_vs_Control,A1CF
GGACT,1.775688346244581,-2.696077858809464,3.562654081094924,-0.7567610543824866,0.44919302928301585,,Sarcoidosis_vs_Control,GGACT
A2M,34.72382268801697,-1.925770694352576,0.8512430117032612,-2.2623042631495807,0.023678611217635124,0.07208310771970476,Sarcoidosis_vs_Control,A2M
A2ML1,0.0,,,,,,Sarcoidosis_vs_Control,A2ML1
A2MP1,3.870142902716748,-3.8477360808830023,3.523887619092927,-1.0919009051354016,0.274876659832488,,Sarcoidosis_vs_Control,A2MP1
A4GALT,2.9637265079358293,1.4327921524486664,2.028118116659837,0.70646385961404,0.47989972002631276,,Sarcoidosis_vs_Control,A4GALT
A4GNT,0.0,,,,,,Sarcoidosis_vs_Control,A4GNT
AAAS,47.137566044719506,-0.16993908864949817,0.4289237571962137,-0.39619882507873894,0.6919583579957191,0.797609209730513,Sarcoidosis_vs_Control,AAAS
AACS,36.492657004991045,0.4225744129740418,0.3965952013037694,1.0655056127377946,0.2866471870253867,0.4410678090434249,Sarcoidosis_vs_Control,AACS
AADAC,0.0,,,,,,Sarcoidosis_vs_Control,AADAC
AADACL2,0.0,,,,,,Sarcoidosis_vs_Control,AADACL2
AADACL3,0.0765887836342836,0.4877380483346433,5.954393187957517,0.08191230120998237,0.934716452362472,,Sarcoidosis_vs_Control,AADACL3
AADACL4,0.0,,,,,,Sarcoidosis_vs_Control,AADACL4
AADAT,0.0,,,,,,Sarcoidosis_vs_Control,AADAT
AAGAB,225.11460967186287,0.40556997701109665,0.25677846832946394,1.5794547714597442,0.11423178283708353,0.22960262903579043,Sarcoidosis_vs_Control,AAGAB
AAK1,11.824866501376665,-0.31525874325135933,0.8468416975323777,-0.37227588600088496,0.7096874506310462,0.809432347451071,Sarcoidosis_vs_Control,AAK1
AAMP,165.900890151016,-0.2226690945525673,0.2544872971148323,-0.8749713525075962,0.3815894932873808,0.5355442248200863,Sarcoidosis_vs_Control,AAMP
AANAT,0.5629452431395848,1.9599514344692233,2.750852920844903,0.7124886320229871,0.47616224846845545,,Sarcoidosis_vs_Control,AANAT
AARS,110.83362885485228,-0.4447484785703942,0.3024450411077329,-1.470510069999699,0.1414236603860671,0.2685717157533522,Sarcoidosis_vs_Control,AARS
AARS2,27.66680926117187,-1.3600043049953014,0.6217879618413538,-2.187247725040872,0.028724444604756025,0.08298989779843512,Sarcoidosis_vs_Control,AARS2
PTGES3L-AARSD1,0.2579563177366858,2.9304131759074097,4.449329269533481,0.6586190857964234,0.5101404037811448,,Sarcoidosis_vs_Control,PTGES3L-AARSD1
